content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,rank
content_1906510bcd08,client_d4735e3a26,,,,,feedly article,,768.0,5454.0,,gpt-4o-mini,3,1,1,1,1,0,0,1,3,1,2,0,0,1,1,1,314,181-365,5,20,0-30,<1000,<8000,33.33,1.3,0.0,100.0,0.0,low,top_3,up,100.0,73.0
content_663be1d5e31c,client_d4735e3a26,,,,,feedly article,,690.0,5153.0,,gpt-4o-mini,3,1,5,4,4,0,0,0,3,2,1,0,0,0,0,0,285,181-365,5,20,0-30,<1000,<8000,33.33,0.3,0.0,0.0,0.0,low,top_3,new,,73.0
content_0a2b1088a9ee,client_d4735e3a26,,,,,feedly article,,873.0,6280.0,,gpt-4o-mini,3,1,2,2,2,0,0,0,3,2,2,1,2,0,0,0,294,181-365,5,20,0-30,<1000,<8000,33.33,3.7,0.0,0.0,0.0,low,page_1,new,,73.0
content_8710fc4c2549,client_d4735e3a26,,,,,feedly article,,755.0,5843.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,1,0,0,0,0,0,300,181-365,5,20,0-30,<1000,<8000,33.33,0.7,0.0,0.0,0.0,low,top_3,new,,73.0
content_7a7d7fe6ba9b,client_d4735e3a26,,,,,feedly article,,894.0,6380.0,,gpt-4o-mini,3,1,1,1,1,0,0,1,3,1,1,0,0,0,0,0,296,181-365,5,20,0-30,<1000,<8000,33.33,3.3,0.0,100.0,0.0,low,page_1,new,,73.0
content_80f8ded29fa2,client_d4735e3a26,210.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,1,0,0,1,0,0,495,365+,6,20,0-30,,,33.33,11.0,0.0,0.0,0.0,low,striking,stable,0.0,73.0
content_46dafa0983f2,client_d4735e3a26,,,,,feedly article,,736.0,5531.0,,gpt-4o-mini,3,1,2,2,2,0,1,0,3,2,1,0,0,0,0,0,298,181-365,5,20,0-30,<1000,<8000,33.33,0.7,0.0,0.0,50.0,low,top_3,new,,73.0
content_320f6848abfe,client_d4735e3a26,,,,,feedly article,,806.0,5701.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,2,1,3,1,1,0,0,0,309,181-365,5,20,0-30,<1000,<8000,33.33,1.7,0.0,0.0,0.0,low,top_3,new,,73.0
content_c4f304d338db,client_d4735e3a26,,,,,feedly article,,827.0,5961.0,,gpt-4o-mini,6,2,2,2,2,0,0,1,5,2,3,2,2,0,0,0,298,181-365,5,20,0-30,<1000,<8000,33.33,7.2,0.0,50.0,0.0,low,page_1,new,,73.0
content_725ff1a7c773,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,navigational,832.0,5650.0,,gpt-4o-mini,3,1,3,1,1,0,0,0,3,1,3,1,1,0,0,0,306,181-365,5,20,0-30,<1000,<8000,33.33,1.7,0.0,0.0,0.0,low,top_3,new,,73.0
content_d483dfed61fc,client_d4735e3a26,,,,,feedly article,,945.0,6905.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,287,181-365,5,20,0-30,<1000,<8000,33.33,1.0,0.0,0.0,0.0,low,top_3,new,,73.0
content_2dbee741d064,client_d4735e3a26,,,,,feedly article,,801.0,5654.0,,gpt-4o-mini,3,1,2,1,1,0,0,1,3,1,1,0,0,1,0,0,253,181-365,5,20,0-30,<1000,<8000,33.33,18.7,0.0,50.0,0.0,low,striking,stable,0.0,73.0
content_6ad0923e4d1d,client_d4735e3a26,,,,,feedly article,,654.0,4870.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,2,0,0,0,0,0,309,181-365,5,20,0-30,<1000,<8000,33.33,1.3,0.0,0.0,0.0,low,top_3,new,,73.0
content_03a8fd6bcc80,client_d4735e3a26,,,,,feedly article,,944.0,6834.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,2,0,0,0,0,0,306,181-365,5,20,0-30,<1000,<8000,33.33,0.7,0.0,0.0,0.0,low,top_3,new,,73.0
content_0b7cce421f58,client_d4735e3a26,,,,,keyword article,,892.0,6557.0,,gpt-4o-mini,3,1,3,2,2,0,2,0,3,2,1,0,0,1,0,0,305,181-365,5,211,181+,<1000,<8000,33.33,6.0,0.0,0.0,100.0,low,page_1,stable,0.0,73.0
content_8583ff96969c,client_9f14025af0,10.0,0.0,LOW,0.0,keyword article,informational,1286.0,7812.0,,gpt-4o-mini,3,1,1,1,1,0,0,1,3,1,1,0,0,1,1,1,347,181-365,5,20,0-30,1000-2000,<8000,33.33,15.3,0.0,100.0,0.0,low,striking,stable,0.0,73.0
content_c649b15e7691,client_d4735e3a26,0.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,2,0,0,1,1,1,489,365+,6,20,0-30,,,33.33,2.3,0.0,0.0,0.0,low,top_3,up,100.0,73.0
content_2278cd2eba78,client_d4735e3a26,,,,,feedly article,,799.0,5967.0,,gpt-4o-mini,3,1,1,1,1,1,0,1,3,1,2,0,0,0,0,0,292,181-365,5,20,0-30,<1000,<8000,33.33,0.7,100.0,100.0,0.0,low,top_3,new,,73.0
content_9a9cd696637f,client_d4735e3a26,,,,,feedly article,,822.0,6023.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,1,0,0,0,0,0,281,181-365,5,20,0-30,<1000,<8000,33.33,32.0,0.0,0.0,0.0,low,page_3_5,new,,73.0
content_c0f9e81d4f06,client_d4735e3a26,,,,,feedly article,,780.0,5554.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,291,181-365,5,20,0-30,<1000,<8000,33.33,1.3,0.0,0.0,0.0,low,top_3,new,,73.0
content_f2eeaeefe9f1,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,informational,3588.0,21628.0,google,gemini-3-flash-preview,3,1,2,2,1,0,0,0,3,1,2,1,2,1,0,0,120,91-180,4,20,0-30,3500+,15000-25000,33.33,1.7,0.0,0.0,0.0,low,top_3,up,100.0,73.0
content_9433246c4671,client_d4735e3a26,,,,,keyword article,,860.0,5841.0,,gpt-4o-mini,3,1,1,1,1,0,0,1,3,1,1,0,0,1,0,0,301,181-365,5,211,181+,<1000,<8000,33.33,4.3,0.0,100.0,0.0,low,page_1,stable,0.0,73.0
content_8bc35200c219,client_d4735e3a26,,,,,feedly article,,764.0,5518.0,,gpt-4o-mini,3,1,5,5,4,0,0,1,2,3,1,0,1,2,1,4,316,181-365,5,20,0-30,<1000,<8000,33.33,5.3,0.0,20.0,0.0,low,page_1,down,-50.0,73.0
content_d44276a58e65,client_9f14025af0,20.0,0.73,HIGH,0.0,keyword article,informational,1188.0,7477.0,,gpt-4o-mini,3,1,1,1,1,0,0,0,3,1,0,0,0,0,0,0,347,181-365,5,20,0-30,1000-2000,<8000,33.33,6.0,0.0,0.0,0.0,low,page_1,flat,,73.0
content_cb690e40ac43,client_d4735e3a26,,,,,feedly article,,706.0,4954.0,,gpt-4o-mini,3,1,3,2,2,0,0,0,3,2,2,0,0,0,0,0,315,181-365,5,20,0-30,<1000,<8000,33.33,2.3,0.0,0.0,0.0,low,top_3,new,,73.0
content_336a0d997474,client_9f14025af0,0.0,0.0,LOW,0.0,keyword article,informational,2321.0,15511.0,,gemini-2.5-flash,3,1,1,1,1,0,0,0,2,1,3,1,1,0,0,0,182,181-365,5,20,0-30,2000-3500,15000-25000,33.33,7.3,0.0,0.0,0.0,low,page_1,new,,73.0
